Dataset,TargetID,SensitiveAttribute,Run,TargetModel,ProbCorrectRawIn,ProbCorrectRawOut,AdvantageRaw,ProbCorrectSynIn,ProbCorrectSynOut,AdvantageSyn,OddsIn,OddsOut,MSErIn,MSErOut,MSEsIn,MSEsOut,PrivacyGain
small,ID123,totcst,0,Cvine,1.0,0.94,0.06000000000000005,0.86,0.8,0.05999999999999994,0.86,0.8510638297872342,0.0,0.0037896456351720845,0.008357149203921877,0.007898262274601067,1.1102230246251565e-16
small,ID123,totcst,1,Cvine,1.0,0.98,0.020000000000000018,0.8,0.88,-0.07999999999999996,0.8,0.8979591836734694,0.0,0.0034431026249835284,0.011605846877961899,0.007256311387423375,0.09999999999999998
small,ID123,totcst,2,Cvine,1.0,1.0,0.0,0.88,0.82,0.06000000000000005,0.88,0.82,0.0,0.0012007917476061405,0.007249360287110356,0.008043610659568733,-0.06000000000000005
small,ID123,totcst,3,Cvine,1.0,0.96,0.040000000000000036,0.64,0.52,0.12,0.64,0.5416666666666667,0.0,0.003834931011571018,0.015709096000488608,0.01810575512509787,-0.07999999999999996
small,ID123,totcst,4,Cvine,1.0,0.98,0.020000000000000018,0.62,0.82,-0.19999999999999996,0.62,0.836734693877551,0.0,0.0023202754406227845,0.01545624017600361,0.010430934489259483,0.21999999999999997
small,ID123,totcst,5,Cvine,1.0,0.98,0.020000000000000018,0.96,0.42,0.54,0.96,0.42857142857142855,0.0,0.0028279342172577797,0.004916356407031805,0.020316603425163966,-0.52
small,ID123,totcst,6,Cvine,1.0,1.0,0.0,1.0,0.96,0.040000000000000036,1.0,0.96,0.0,0.0034022322213903573,0.0023695516230533126,0.004406076261482316,-0.040000000000000036
small,ID123,totcst,7,Cvine,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0025231492884234207,0.0024378721839374887,0.001572245523129122,0.0
small,ID123,totcst,8,Cvine,1.0,0.96,0.040000000000000036,0.96,0.98,-0.020000000000000018,0.96,1.0208333333333333,0.0,0.0037516033247105684,0.003517873460141093,0.0024243737835509937,0.06000000000000005
small,ID123,totcst,9,Cvine,1.0,0.98,0.020000000000000018,0.62,0.78,-0.16000000000000003,0.62,0.7959183673469388,0.0,0.004543817784054018,0.015939395534882078,0.01014150455449172,0.18000000000000005
small,ID31,totcst,0,Cvine,1.0,0.82,0.18000000000000005,0.34,0.88,-0.54,0.34,1.0731707317073171,0.0,0.007810366359654124,0.04311426862279789,0.007280853007590444,0.7200000000000001
small,ID31,totcst,1,Cvine,1.0,0.84,0.16000000000000003,0.12,0.0,0.12,0.12,0.0,0.0,0.007659118391370743,0.09546147253038184,0.2229524120370999,0.040000000000000036
