Dataset,TargetID,SensitiveAttribute,Run,TargetModel,ProbCorrectRawIn,ProbCorrectRawOut,AdvantageRaw,ProbCorrectSynIn,ProbCorrectSynOut,AdvantageSyn,OddsIn,OddsOut,MSErIn,MSErOut,MSEsIn,MSEsOut,PrivacyGain
small,ID123,totcst,0,Cvine,1.0,0.94,0.06000000000000005,0.06,0.04,0.019999999999999997,0.06,0.04255319148936171,0.0,0.0037896456351720845,0.16367396710193957,0.21897355590943035,0.040000000000000056
small,ID123,totcst,1,Cvine,1.0,0.98,0.020000000000000018,0.02,0.1,-0.08,0.02,0.10204081632653061,0.0,0.0034431026249835284,0.3266714629243029,0.23410643076829135,0.10000000000000002
small,ID123,totcst,2,Cvine,1.0,1.0,0.0,0.06,0.04,0.019999999999999997,0.06,0.04,0.0,0.0012007917476061405,0.21900489837293013,0.18907084841399377,-0.019999999999999997
small,ID123,totcst,3,Cvine,1.0,0.96,0.040000000000000036,0.04,0.06,-0.019999999999999997,0.04,0.0625,0.0,0.003834931011571018,0.3378534494236681,0.2588286859530051,0.06000000000000003
small,ID123,totcst,4,Cvine,1.0,0.98,0.020000000000000018,0.14,0.12,0.020000000000000018,0.14,0.12244897959183673,0.0,0.0023202754406227845,0.11185782526906321,0.12942662300565586,0.0
small,ID123,totcst,5,Cvine,1.0,0.98,0.020000000000000018,0.32,0.4,-0.08000000000000002,0.32,0.40816326530612246,0.0,0.0028279342172577797,0.06693044942013116,0.04914161857120205,0.10000000000000003
small,ID123,totcst,6,Cvine,1.0,1.0,0.0,0.08,0.12,-0.039999999999999994,0.08,0.12,0.0,0.0034022322213903573,0.16760441566074138,0.19373174715524544,0.039999999999999994
small,ID123,totcst,7,Cvine,1.0,1.0,0.0,0.06,0.14,-0.08000000000000002,0.06,0.14,0.0,0.0025231492884234207,0.16555494228439213,0.16983477742829436,0.08000000000000002
small,ID123,totcst,8,Cvine,1.0,0.96,0.040000000000000036,0.28,0.26,0.020000000000000018,0.28,0.27083333333333337,0.0,0.0037516033247105684,0.0975574530978398,0.09034905066091074,0.020000000000000018
small,ID123,totcst,9,Cvine,1.0,0.98,0.020000000000000018,0.04,0.02,0.02,0.04,0.020408163265306124,0.0,0.004543817784054018,0.2916154137202758,0.25912035671848066,1.734723475976807e-17
small,ID31,totcst,0,Cvine,1.0,0.82,0.18000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.007810366359654124,7.61589834086497,7.480585893063803,0.18000000000000005
small,ID31,totcst,1,Cvine,1.0,0.84,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.007659118391370743,7.693489007770365,7.8897134930526365,0.16000000000000003
small,ID31,totcst,2,Cvine,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.003018935389228907,7.001477925499638,7.426308212110854,0.040000000000000036
small,ID31,totcst,3,Cvine,1.0,0.8,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.007132111890015277,7.311291614742579,7.158167822092522,0.19999999999999996
small,ID31,totcst,4,Cvine,1.0,0.82,0.18000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.010179443050422975,6.279529548007997,6.957490808330954,0.18000000000000005
small,ID31,totcst,5,Cvine,1.0,0.92,0.07999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.005946709801619923,6.545678701885637,6.85207745655421,0.07999999999999996
small,ID31,totcst,6,Cvine,1.0,0.62,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.017736075024810588,5.944778912776252,6.4850367890687615,0.38
small,ID31,totcst,7,Cvine,1.0,0.78,0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.009530495342998878,6.044933566138664,6.183847091268933,0.21999999999999997
small,ID31,totcst,8,Cvine,1.0,0.84,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.007628883368140197,7.496718102558558,6.83559537422253,0.16000000000000003
small,ID31,totcst,9,Cvine,1.0,0.94,0.06000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.005291761347032929,6.534599761797186,6.787529454588769,0.06000000000000005
small,ID41,totcst,0,Cvine,1.0,0.04,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.5466300620707657,15.52654237664977,16.233419081468497,0.96
small,ID41,totcst,1,Cvine,1.0,0.02,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0353719432194202,18.963314525600026,18.836187415285348,0.98
small,ID41,totcst,2,Cvine,1.0,0.12,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.3034588803602378,17.067216911709,16.866682837634144,0.88
small,ID41,totcst,3,Cvine,1.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.18676232965659045,17.730370096710047,17.967747984200596,0.8
small,ID41,totcst,4,Cvine,1.0,0.02,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.6172256848216576,19.026409550024415,18.949944825624193,0.98
small,ID41,totcst,5,Cvine,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.9270227304610467,13.941852662840198,19.100290023483577,1.0
small,ID41,totcst,6,Cvine,1.0,0.02,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.8266689551486007,18.584154569456988,18.70413852738619,0.98
small,ID41,totcst,7,Cvine,1.0,0.02,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.6950478883705238,16.801742805115953,17.28534229651509,0.98
small,ID41,totcst,8,Cvine,1.0,0.02,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.29537425732082695,17.688540677063376,14.423501706293907,0.98
small,ID41,totcst,9,Cvine,1.0,0.04,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.5651973291607916,18.013120525069333,15.850946130881287,0.96
small,ID507,totcst,0,Cvine,1.0,0.92,0.07999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.006897311280702725,2.5480948446592646,2.891915238246008,0.07999999999999996
small,ID507,totcst,1,Cvine,1.0,0.76,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.00924409242212357,1.7188592552966708,1.9546024457743458,0.24
small,ID507,totcst,2,Cvine,1.0,0.98,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0032548321052833047,1.9293509228102315,2.0774422147588667,0.020000000000000018
small,ID507,totcst,3,Cvine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021234321547499964,1.5836180132920772,2.070312852190369,0.0
small,ID507,totcst,4,Cvine,1.0,0.74,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.011443155329999679,2.3610655617940792,2.7606743960534117,0.26
small,ID507,totcst,5,Cvine,1.0,0.7,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.012281861183926417,1.929349813532801,2.295345411011351,0.30000000000000004
small,ID507,totcst,6,Cvine,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0038613488856320786,1.364551726190207,2.5165328305599326,0.040000000000000036
small,ID507,totcst,7,Cvine,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.004621344035718441,2.0192383503619062,2.003651008451945,0.040000000000000036
small,ID507,totcst,8,Cvine,1.0,0.98,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0025660689602516823,2.336809627430196,2.213016232789154,0.020000000000000018
small,ID507,totcst,9,Cvine,1.0,0.92,0.07999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.006047595585444388,1.4909236959653425,1.7532463390084785,0.07999999999999996
small,ID589,totcst,0,Cvine,1.0,0.8,0.19999999999999996,0.56,0.48,0.08000000000000007,0.56,0.6,0.0,0.01067654862851638,0.024345528585681855,0.022007553322816006,0.11999999999999988
small,ID589,totcst,1,Cvine,1.0,0.4,0.6,0.58,0.5,0.07999999999999996,0.58,1.25,0.0,0.019635528003500335,0.0298400787126965,0.03409550971343808,0.52
small,ID589,totcst,2,Cvine,1.0,0.8,0.19999999999999996,0.52,0.66,-0.14,0.52,0.825,0.0,0.011386483798964987,0.023035360538513596,0.02095379488127509,0.33999999999999997
small,ID589,totcst,3,Cvine,1.0,0.96,0.040000000000000036,0.64,0.58,0.06000000000000005,0.64,0.6041666666666666,0.0,0.004412670936381577,0.020096773259532522,0.02440460962778701,-0.020000000000000018
small,ID589,totcst,4,Cvine,1.0,0.72,0.28,0.58,0.48,0.09999999999999998,0.58,0.6666666666666666,0.0,0.012658236175500484,0.039882405757078264,0.02715514366785434,0.18000000000000005
small,ID589,totcst,5,Cvine,1.0,0.78,0.21999999999999997,0.58,0.62,-0.040000000000000036,0.58,0.7948717948717948,0.0,0.01024952119444893,0.029122384232068158,0.02334243046712671,0.26
small,ID589,totcst,6,Cvine,1.0,0.18,0.8200000000000001,0.5,0.4,0.09999999999999998,0.5,2.2222222222222223,0.0,0.02683190021290037,0.026150044869095307,0.027978414978225938,0.7200000000000001
small,ID589,totcst,7,Cvine,1.0,0.52,0.48,0.56,0.5,0.06000000000000005,0.56,0.9615384615384615,0.0,0.016743430213134094,0.027656680844836693,0.03009017213723177,0.41999999999999993
small,ID589,totcst,8,Cvine,1.0,0.78,0.21999999999999997,0.44,0.4,0.03999999999999998,0.44,0.5128205128205129,0.0,0.010451705305509018,0.03688396487533347,0.03099649723889469,0.18
small,ID589,totcst,9,Cvine,1.0,0.46,0.54,0.5,0.66,-0.16000000000000003,0.5,1.434782608695652,0.0,0.017371055498177513,0.032751087179345675,0.016635588212415228,0.7000000000000001
small,ID740,totcst,0,Cvine,1.0,0.56,0.43999999999999995,0.34,0.42,-0.07999999999999996,0.34,0.7499999999999999,0.0,0.02127259675642255,0.06430538072590525,0.06576565469762147,0.5199999999999999
small,ID740,totcst,1,Cvine,1.0,0.14,0.86,0.34,0.32,0.020000000000000018,0.34,2.2857142857142856,0.0,0.04768846522296614,0.0950370523030175,0.09366578886263185,0.84
small,ID740,totcst,2,Cvine,1.0,0.88,0.12,0.26,0.38,-0.12,0.26,0.4318181818181818,0.0,0.0047646981514590896,0.0947806041520593,0.08113205432376144,0.24
small,ID740,totcst,3,Cvine,1.0,0.3,0.7,0.28,0.34,-0.06,0.28,1.1333333333333335,0.0,0.04699640267048974,0.16433137795402444,0.09250564481869114,0.76
small,ID740,totcst,4,Cvine,1.0,0.18,0.8200000000000001,0.26,0.28,-0.020000000000000018,0.26,1.5555555555555558,0.0,0.040671188348222316,0.14319384479107788,0.14785076665338528,0.8400000000000001
small,ID740,totcst,5,Cvine,1.0,0.24,0.76,0.48,0.38,0.09999999999999998,0.48,1.5833333333333335,0.0,0.04040735027884621,0.05171509622958369,0.055160798590879405,0.66
small,ID740,totcst,6,Cvine,1.0,0.18,0.8200000000000001,0.42,0.32,0.09999999999999998,0.42,1.777777777777778,0.0,0.049243861269101644,0.0427601338702414,0.06408823812012775,0.7200000000000001
small,ID740,totcst,7,Cvine,1.0,0.12,0.88,0.3,0.28,0.019999999999999962,0.3,2.3333333333333335,0.0,0.05096205164078193,0.062344647419868136,0.08409437429936871,0.8600000000000001
small,ID740,totcst,8,Cvine,1.0,0.88,0.12,0.42,0.36,0.06,0.42,0.40909090909090906,0.0,0.006779692858439164,0.04721614339155445,0.06308715347900817,0.06
small,ID740,totcst,9,Cvine,1.0,0.38,0.62,0.12,0.06,0.06,0.12,0.15789473684210525,0.0,0.022436859128351673,0.23163147109527857,0.22289580636010192,0.56
small,ID806,totcst,0,Cvine,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.00406848962804266,0.3678395060642535,0.3976554772014241,0.040000000000000036
small,ID806,totcst,1,Cvine,1.0,0.92,0.07999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.006472011593438737,0.5046153230924983,0.4790652697785868,0.07999999999999996
small,ID806,totcst,2,Cvine,1.0,0.98,0.020000000000000018,0.0,0.0,0.0,0.0,0.0,0.0,0.003938666293958352,0.5269546338243392,0.43997604832265785,0.020000000000000018
small,ID806,totcst,3,Cvine,1.0,0.74,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.011975123259666699,0.3180184543550607,0.37889598226342736,0.26
small,ID806,totcst,4,Cvine,1.0,0.78,0.21999999999999997,0.04,0.0,0.04,0.04,0.0,0.0,0.009318219943782454,0.32921190736110195,0.36618970910815757,0.17999999999999997
small,ID806,totcst,5,Cvine,1.0,0.92,0.07999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.005853786501388771,0.408317831908383,0.3821739333179916,0.07999999999999996
small,ID806,totcst,6,Cvine,1.0,0.88,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.006787068182837366,0.3450058796379362,0.5500814917010972,0.12
small,ID806,totcst,7,Cvine,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0037848323889177415,0.4200882572388281,0.4502010048751165,0.040000000000000036
small,ID806,totcst,8,Cvine,1.0,1.0,0.0,0.0,0.02,-0.02,0.0,0.02,0.0,0.0012338591169040727,0.3348609673066201,0.3280476043213293,0.02
small,ID806,totcst,9,Cvine,1.0,0.98,0.020000000000000018,0.06,0.04,0.019999999999999997,0.06,0.04081632653061225,0.0,0.004252351352482889,0.23456148792007414,0.21007345806346078,2.0816681711721685e-17
small,ID823,totcst,0,Cvine,1.0,1.0,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0012573557028810302,0.23125934494771225,0.2810889772321271,0.0
small,ID823,totcst,1,Cvine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005550253245877472,0.43745146388280676,0.4819294016976377,0.0
small,ID823,totcst,2,Cvine,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001363222338989125,0.4356303929407835,0.4170473972935615,0.0
small,ID823,totcst,3,Cvine,1.0,1.0,0.0,0.04,0.04,0.0,0.04,0.04,0.0,0.0009235843853982527,0.23622383830345486,0.2650329593473016,0.0
small,ID823,totcst,4,Cvine,1.0,1.0,0.0,0.06,0.04,0.019999999999999997,0.06,0.04,0.0,0.0016995622872826427,0.20076684582922247,0.2539211994019357,-0.019999999999999997
small,ID823,totcst,5,Cvine,1.0,1.0,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.0009142268429946505,0.27863059521734396,0.31703989215907635,-0.02
small,ID823,totcst,6,Cvine,1.0,1.0,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.0022639892132481337,0.29981246737533995,0.3452194350052485,-0.02
