Dataset,TargetID,SensitiveAttribute,Run,TargetModel,ProbCorrectRawIn,ProbCorrectRawOut,AdvantageRaw,ProbCorrectSynIn,ProbCorrectSynOut,AdvantageSyn,OddsIn,OddsOut,MSErIn,MSErOut,MSEsIn,MSEsOut,PrivacyGain
small,ID123,totcst,0,Cvine,1.0,0.94,0.06000000000000005,0.8,0.6,0.20000000000000007,0.8,0.6382978723404256,0.0,0.0037896456351720845,0.015809724633542667,0.01732222390120265,-0.14
small,ID123,totcst,1,Cvine,1.0,0.98,0.020000000000000018,0.64,0.52,0.12,0.64,0.5306122448979592,0.0,0.0034431026249835284,0.01800021275387361,0.024495794474471443,-0.09999999999999998
small,ID123,totcst,2,Cvine,1.0,1.0,0.0,0.52,0.68,-0.16000000000000003,0.52,0.68,0.0,0.0012007917476061405,0.03318331277479607,0.02515337995681507,0.16000000000000003
small,ID123,totcst,3,Cvine,1.0,0.96,0.040000000000000036,0.48,0.48,0.0,0.48,0.5,0.0,0.003834931011571018,0.028116024243144445,0.028306603683195933,0.040000000000000036
small,ID123,totcst,4,Cvine,1.0,0.98,0.020000000000000018,0.44,0.46,-0.020000000000000018,0.44,0.46938775510204084,0.0,0.0023202754406227845,0.03254451471982449,0.03270606191926772,0.040000000000000036
small,ID123,totcst,5,Cvine,1.0,0.98,0.020000000000000018,0.48,0.32,0.15999999999999998,0.48,0.326530612244898,0.0,0.0028279342172577797,0.03736187534190316,0.04938013765877727,-0.13999999999999996
small,ID123,totcst,6,Cvine,1.0,1.0,0.0,0.42,0.56,-0.14000000000000007,0.42,0.56,0.0,0.0034022322213903573,0.04153396236849096,0.03870407879552974,0.14000000000000007
small,ID123,totcst,7,Cvine,1.0,1.0,0.0,0.32,0.38,-0.06,0.32,0.38,0.0,0.0025231492884234207,0.04838894805593696,0.04583298428006821,0.06
small,ID123,totcst,8,Cvine,1.0,0.96,0.040000000000000036,0.38,0.36,0.020000000000000018,0.38,0.375,0.0,0.0037516033247105684,0.047699981584606935,0.06089741070719493,0.020000000000000018
small,ID123,totcst,9,Cvine,1.0,0.98,0.020000000000000018,0.5,0.36,0.14,0.5,0.3673469387755102,0.0,0.004543817784054018,0.03390314288689917,0.04091257754447373,-0.12
small,ID31,totcst,0,Cvine,1.0,0.82,0.18000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.007810366359654124,1.3019259273127297,1.3461541698609747,0.18000000000000005
small,ID31,totcst,1,Cvine,1.0,0.84,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.007659118391370743,1.791309204900314,1.8563450822003547,0.16000000000000003
small,ID31,totcst,2,Cvine,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.003018935389228907,1.5839530363343945,1.8070924195345381,0.040000000000000036
small,ID31,totcst,3,Cvine,1.0,0.8,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.007132111890015277,1.4672833454366117,1.4860671855773753,0.19999999999999996
small,ID31,totcst,4,Cvine,1.0,0.82,0.18000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.010179443050422975,1.1326148538602496,1.1691870709277725,0.18000000000000005
small,ID31,totcst,5,Cvine,1.0,0.92,0.07999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.005946709801619923,1.248285426116543,1.3607879796804534,0.07999999999999996
small,ID31,totcst,6,Cvine,1.0,0.62,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.017736075024810588,0.9931374615202029,1.382796101202144,0.38
small,ID31,totcst,7,Cvine,1.0,0.78,0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.009530495342998878,1.2061706765496816,1.137355069250866,0.21999999999999997
small,ID31,totcst,8,Cvine,1.0,0.84,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.007628883368140197,1.1264483654016835,1.0292678977640735,0.16000000000000003
small,ID31,totcst,9,Cvine,1.0,0.94,0.06000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.005291761347032929,1.2650248009948326,1.4910486881343075,0.06000000000000005
small,ID41,totcst,0,Cvine,1.0,0.04,0.96,0.0,0.06,-0.06,0.0,1.5,0.0,0.5466300620707657,2.472721504191851,2.2509914601380383,1.02
small,ID41,totcst,1,Cvine,1.0,0.02,0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.0353719432194202,3.1062577504926976,4.249742634342258,0.98
small,ID41,totcst,2,Cvine,1.0,0.12,0.88,0.02,0.0,0.02,0.02,0.0,0.0,0.3034588803602378,3.6986939542328976,3.7013455056760587,0.86
small,ID41,totcst,3,Cvine,1.0,0.2,0.8,0.02,0.04,-0.02,0.02,0.19999999999999998,0.0,0.18676232965659045,3.5739162603788457,4.361256824796537,0.8200000000000001
small,ID41,totcst,4,Cvine,1.0,0.02,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.6172256848216576,2.945063817509791,4.123197803740091,0.98
small,ID41,totcst,5,Cvine,1.0,0.0,1.0,0.06,0.06,0.0,0.06,,0.0,0.9270227304610467,2.160012641603481,2.6415087188774766,1.0
small,ID41,totcst,6,Cvine,1.0,0.02,0.98,0.02,0.0,0.02,0.02,0.0,0.0,0.8266689551486007,3.9098754603214676,2.5488979333484973,0.96
small,ID41,totcst,7,Cvine,1.0,0.02,0.98,0.0,0.04,-0.04,0.0,2.0,0.0,0.6950478883705238,3.209292570369611,3.730656082018047,1.02
small,ID41,totcst,8,Cvine,1.0,0.02,0.98,0.08,0.04,0.04,0.08,2.0,0.0,0.29537425732082695,1.1256817142488864,1.5344887143060666,0.94
small,ID41,totcst,9,Cvine,1.0,0.04,0.96,0.02,0.0,0.02,0.02,0.0,0.0,0.5651973291607916,3.0595273027248946,4.048882089958808,0.94
small,ID507,totcst,0,Cvine,1.0,0.92,0.07999999999999996,0.18,0.34,-0.16000000000000003,0.18,0.3695652173913044,0.0,0.006897311280702725,0.0748359453468872,0.06486795488408079,0.24
small,ID507,totcst,1,Cvine,1.0,0.76,0.24,0.42,0.4,0.019999999999999962,0.42,0.5263157894736842,0.0,0.00924409242212357,0.03308832949145449,0.028210437538170447,0.22000000000000003
small,ID507,totcst,2,Cvine,1.0,0.98,0.020000000000000018,0.34,0.4,-0.06,0.34,0.40816326530612246,0.0,0.0032548321052833047,0.06765856265350922,0.06844709124281201,0.08000000000000002
small,ID507,totcst,3,Cvine,1.0,1.0,0.0,0.46,0.36,0.10000000000000003,0.46,0.36,0.0,0.0021234321547499964,0.046393160956067624,0.048143117633669734,-0.10000000000000003
small,ID507,totcst,4,Cvine,1.0,0.74,0.26,0.56,0.28,0.28,0.56,0.3783783783783784,0.0,0.011443155329999679,0.025494668314791778,0.06131973072379427,-0.020000000000000018
small,ID507,totcst,5,Cvine,1.0,0.7,0.30000000000000004,0.12,0.2,-0.08000000000000002,0.12,0.28571428571428575,0.0,0.012281861183926417,0.1468406951571867,0.10768010758981987,0.38000000000000006
small,ID507,totcst,6,Cvine,1.0,0.96,0.040000000000000036,0.54,0.08,0.46,0.54,0.08333333333333334,0.0,0.0038613488856320786,0.032703555034089817,0.17927224139317002,-0.42
small,ID507,totcst,7,Cvine,1.0,0.96,0.040000000000000036,0.58,0.54,0.039999999999999925,0.58,0.5625000000000001,0.0,0.004621344035718441,0.03511209900205637,0.027889419682546605,1.1102230246251565e-16
small,ID507,totcst,8,Cvine,1.0,0.98,0.020000000000000018,0.02,0.12,-0.09999999999999999,0.02,0.12244897959183673,0.0,0.0025660689602516823,0.1708005747626608,0.1319402502353556,0.12000000000000001
small,ID507,totcst,9,Cvine,1.0,0.92,0.07999999999999996,0.48,0.2,0.27999999999999997,0.48,0.21739130434782608,0.0,0.006047595585444388,0.04243384139286638,0.14519276991845226,-0.2
small,ID589,totcst,0,Cvine,1.0,0.8,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.01067654862851638,0.150328811730691,0.1484451729012845,0.19999999999999996
small,ID589,totcst,1,Cvine,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.019635528003500335,0.20966629773346557,0.21300143774827662,0.6
small,ID589,totcst,2,Cvine,1.0,0.8,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.011386483798964987,0.16361196492813895,0.1839129414893279,0.19999999999999996
small,ID589,totcst,3,Cvine,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.004412670936381577,0.15607796160693846,0.1744914429753695,0.040000000000000036
small,ID589,totcst,4,Cvine,1.0,0.72,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.012658236175500484,0.13807086134586977,0.1280325862146606,0.28
small,ID589,totcst,5,Cvine,1.0,0.78,0.21999999999999997,0.06,0.04,0.019999999999999997,0.06,0.05128205128205128,0.0,0.01024952119444893,0.08537410407440019,0.09907494497552725,0.19999999999999998
small,ID589,totcst,6,Cvine,1.0,0.18,0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02683190021290037,0.2674006816902935,0.26342816230839644,0.8200000000000001
small,ID589,totcst,7,Cvine,1.0,0.52,0.48,0.12,0.0,0.12,0.12,0.0,0.0,0.016743430213134094,0.1215179219835034,0.15222532281597517,0.36
small,ID589,totcst,8,Cvine,1.0,0.78,0.21999999999999997,0.12,0.12,0.0,0.12,0.15384615384615383,0.0,0.010451705305509018,0.09281032358065637,0.09323321954109581,0.21999999999999997
small,ID589,totcst,9,Cvine,1.0,0.46,0.54,0.1,0.04,0.060000000000000005,0.1,0.08695652173913043,0.0,0.017371055498177513,0.10095075608136743,0.11662160891461612,0.48000000000000004
small,ID740,totcst,0,Cvine,1.0,0.56,0.43999999999999995,0.04,0.02,0.02,0.04,0.03571428571428571,0.0,0.02127259675642255,0.38025514158755974,0.3769972308706872,0.41999999999999993
small,ID740,totcst,1,Cvine,1.0,0.14,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.04768846522296614,0.5064107175010869,0.5030241690044044,0.86
small,ID740,totcst,2,Cvine,1.0,0.88,0.12,0.04,0.0,0.04,0.04,0.0,0.0,0.0047646981514590896,0.2908938167052564,0.3082388108981743,0.07999999999999999
small,ID740,totcst,3,Cvine,1.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.04699640267048974,0.47979395801376434,0.5447895573346792,0.7
small,ID740,totcst,4,Cvine,1.0,0.18,0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.040671188348222316,0.4460959132680169,0.44649692550780784,0.8200000000000001
