Dataset,TargetID,SensitiveAttribute,Run,TargetModel,ProbCorrectRawIn,ProbCorrectRawOut,AdvantageRaw,ProbCorrectSynIn,ProbCorrectSynOut,AdvantageSyn,OddsIn,OddsOut,MSErIn,MSErOut,MSEsIn,MSEsOut,PrivacyGain
small,ID123,totcst,0,Cvine,1.0,0.94,0.06000000000000005,0.1,0.04,0.060000000000000005,0.1,0.04255319148936171,0.0,0.0037896456351720845,0.2761314671864152,0.27478887689706494,4.85722573273506e-17
small,ID123,totcst,1,Cvine,1.0,0.98,0.020000000000000018,0.0,0.02,-0.02,0.0,0.020408163265306124,0.0,0.0034431026249835284,0.34484227383034183,0.27745371982707145,0.04000000000000002
small,ID123,totcst,2,Cvine,1.0,1.0,0.0,0.04,0.04,0.0,0.04,0.04,0.0,0.0012007917476061405,0.2791668553702803,0.3277398474252806,0.0
small,ID123,totcst,3,Cvine,1.0,0.96,0.040000000000000036,0.0,0.02,-0.02,0.0,0.020833333333333336,0.0,0.003834931011571018,0.39751246836658494,0.4275701501893549,0.06000000000000004
small,ID123,totcst,4,Cvine,1.0,0.98,0.020000000000000018,0.18,0.08,0.09999999999999999,0.18,0.0816326530612245,0.0,0.0023202754406227845,0.17193391082360324,0.2524385250195498,-0.07999999999999997
small,ID123,totcst,5,Cvine,1.0,0.98,0.020000000000000018,0.08,0.08,0.0,0.08,0.0816326530612245,0.0,0.0028279342172577797,0.2371017318672351,0.2313309981991791,0.020000000000000018
small,ID123,totcst,6,Cvine,1.0,1.0,0.0,0.06,0.02,0.039999999999999994,0.06,0.02,0.0,0.0034022322213903573,0.25643826445417534,0.2702288224914075,-0.039999999999999994
small,ID123,totcst,7,Cvine,1.0,1.0,0.0,0.0,0.02,-0.02,0.0,0.02,0.0,0.0025231492884234207,0.28237613744488,0.33358108677208576,0.02
small,ID123,totcst,8,Cvine,1.0,0.96,0.040000000000000036,0.18,0.06,0.12,0.18,0.0625,0.0,0.0037516033247105684,0.1645514729562294,0.1624838190380994,-0.07999999999999996
small,ID123,totcst,9,Cvine,1.0,0.98,0.020000000000000018,0.06,0.0,0.06,0.06,0.0,0.0,0.004543817784054018,0.35972164900813935,0.3867720408050527,-0.03999999999999998
small,ID31,totcst,0,Cvine,1.0,0.82,0.18000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.007810366359654124,7.808002469877001,7.8409693304191865,0.18000000000000005
