Dataset,TargetID,SensitiveAttribute,Run,TargetModel,ProbCorrectRawIn,ProbCorrectRawOut,AdvantageRaw,ProbCorrectSynIn,ProbCorrectSynOut,AdvantageSyn,OddsIn,OddsOut,MSErIn,MSErOut,MSEsIn,MSEsOut,PrivacyGain
small,ID123,totcst,0,Cvine,1.0,0.94,0.06000000000000005,0.84,0.7,0.14,0.84,0.7446808510638298,0.0,0.0037896456351720845,0.008169798648362127,0.016714998318957515,-0.07999999999999996
small,ID123,totcst,1,Cvine,1.0,0.98,0.020000000000000018,0.46,0.22,0.24000000000000002,0.46,0.22448979591836735,0.0,0.0034431026249835284,0.030827863644504495,0.0561440661979782,-0.22
small,ID123,totcst,2,Cvine,1.0,1.0,0.0,0.5,0.6,-0.09999999999999998,0.5,0.6,0.0,0.0012007917476061405,0.025562755993710527,0.028200978807221812,0.09999999999999998
small,ID123,totcst,3,Cvine,1.0,0.96,0.040000000000000036,0.48,0.42,0.06,0.48,0.4375,0.0,0.003834931011571018,0.034819773145979754,0.03413977862520903,-0.019999999999999962
small,ID123,totcst,4,Cvine,1.0,0.98,0.020000000000000018,0.54,0.4,0.14,0.54,0.40816326530612246,0.0,0.0023202754406227845,0.027762755681274984,0.04084995925912364,-0.12
small,ID123,totcst,5,Cvine,1.0,0.98,0.020000000000000018,0.36,0.56,-0.20000000000000007,0.36,0.5714285714285715,0.0,0.0028279342172577797,0.05141429894357223,0.035358453549493254,0.22000000000000008
small,ID123,totcst,6,Cvine,1.0,1.0,0.0,0.32,0.36,-0.03999999999999998,0.32,0.36,0.0,0.0034022322213903573,0.04536356977897362,0.03660917134381113,0.03999999999999998
small,ID123,totcst,7,Cvine,1.0,1.0,0.0,0.4,0.28,0.12,0.4,0.28,0.0,0.0025231492884234207,0.04337534722213662,0.057076177526734,-0.12
small,ID123,totcst,8,Cvine,1.0,0.96,0.040000000000000036,0.32,0.14,0.18,0.32,0.14583333333333334,0.0,0.0037516033247105684,0.04687036890565939,0.07755051372626762,-0.13999999999999996
small,ID123,totcst,9,Cvine,1.0,0.98,0.020000000000000018,0.5,0.44,0.06,0.5,0.4489795918367347,0.0,0.004543817784054018,0.0360944296076384,0.04458428297192223,-0.03999999999999998
small,ID31,totcst,0,Cvine,1.0,0.82,0.18000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.007810366359654124,0.5873032458879287,0.5571556027747784,0.18000000000000005
small,ID31,totcst,1,Cvine,1.0,0.84,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.007659118391370743,1.049190656122898,1.0197667879903434,0.16000000000000003
small,ID31,totcst,2,Cvine,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.003018935389228907,0.8238340850442402,0.9635567325476972,0.040000000000000036
small,ID31,totcst,3,Cvine,1.0,0.8,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.007132111890015277,0.6653215569211822,0.7522592897892154,0.19999999999999996
small,ID31,totcst,4,Cvine,1.0,0.82,0.18000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.010179443050422975,0.5957230323079951,0.6495174448277956,0.18000000000000005
small,ID31,totcst,5,Cvine,1.0,0.92,0.07999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.005946709801619923,0.6090896095202788,0.6375938983363172,0.07999999999999996
small,ID31,totcst,6,Cvine,1.0,0.62,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.017736075024810588,0.6262472797314018,0.8614482165286342,0.38
small,ID31,totcst,7,Cvine,1.0,0.78,0.21999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.009530495342998878,0.5609721365202351,0.6138295398684626,0.21999999999999997
small,ID31,totcst,8,Cvine,1.0,0.84,0.16000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.007628883368140197,0.5179008197118242,0.5382050595918454,0.16000000000000003
small,ID31,totcst,9,Cvine,1.0,0.94,0.06000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.005291761347032929,0.6368378424298089,0.8414870917694407,0.06000000000000005
small,ID41,totcst,0,Cvine,1.0,0.04,0.96,0.12,0.06,0.06,0.12,1.5,0.0,0.5466300620707657,0.35248647218902485,0.9974381178967225,0.8999999999999999
small,ID41,totcst,1,Cvine,1.0,0.02,0.98,0.18,0.16,0.01999999999999999,0.18,8.0,0.0,1.0353719432194202,0.35633539151780896,0.47495925507676195,0.96
small,ID41,totcst,2,Cvine,1.0,0.12,0.88,0.2,0.1,0.1,0.2,0.8333333333333334,0.0,0.3034588803602378,0.3713486871228699,0.7005503291502988,0.78
small,ID41,totcst,3,Cvine,1.0,0.2,0.8,0.16,0.04,0.12,0.16,0.19999999999999998,0.0,0.18676232965659045,0.6153187584593166,1.2805452877075811,0.68
small,ID41,totcst,4,Cvine,1.0,0.02,0.98,0.3,0.08,0.21999999999999997,0.3,4.0,0.0,0.6172256848216576,0.4015352921907641,0.34653610272410146,0.76
small,ID41,totcst,5,Cvine,1.0,0.0,1.0,0.12,0.14,-0.020000000000000018,0.12,,0.0,0.9270227304610467,0.5723709058216373,0.7410555896938515,1.02
small,ID41,totcst,6,Cvine,1.0,0.02,0.98,0.16,0.22,-0.06,0.16,11.0,0.0,0.8266689551486007,0.41049256498640285,0.4790801377357798,1.04
small,ID41,totcst,7,Cvine,1.0,0.02,0.98,0.2,0.18,0.020000000000000018,0.2,9.0,0.0,0.6950478883705238,0.3329256239285167,0.6222190910161123,0.96
small,ID41,totcst,8,Cvine,1.0,0.02,0.98,0.12,0.06,0.06,0.12,3.0,0.0,0.29537425732082695,1.1038697731919576,1.2022687552771112,0.9199999999999999
small,ID41,totcst,9,Cvine,1.0,0.04,0.96,0.14,0.08,0.06000000000000001,0.14,2.0,0.0,0.5651973291607916,0.7368787899992312,1.036465369251876,0.8999999999999999
small,ID507,totcst,0,Cvine,1.0,0.92,0.07999999999999996,0.42,0.4,0.019999999999999962,0.42,0.43478260869565216,0.0,0.006897311280702725,0.040003606308226504,0.04437928040842967,0.06
small,ID507,totcst,1,Cvine,1.0,0.76,0.24,0.48,0.62,-0.14,0.48,0.8157894736842105,0.0,0.00924409242212357,0.022604010248383533,0.02175833492163765,0.38
small,ID507,totcst,2,Cvine,1.0,0.98,0.020000000000000018,0.24,0.2,0.03999999999999998,0.24,0.20408163265306123,0.0,0.0032548321052833047,0.0761020922173767,0.0809683804525763,-0.019999999999999962
small,ID507,totcst,3,Cvine,1.0,1.0,0.0,0.52,0.42,0.10000000000000003,0.52,0.42,0.0,0.0021234321547499964,0.026978540433396536,0.05031612312138285,-0.10000000000000003
small,ID507,totcst,4,Cvine,1.0,0.74,0.26,0.48,0.34,0.13999999999999996,0.48,0.4594594594594595,0.0,0.011443155329999679,0.029939001778355477,0.052510399590557276,0.12000000000000005
small,ID507,totcst,5,Cvine,1.0,0.7,0.30000000000000004,0.02,0.22,-0.2,0.02,0.31428571428571433,0.0,0.012281861183926417,0.15189197203743018,0.0939226289416476,0.5
small,ID507,totcst,6,Cvine,1.0,0.96,0.040000000000000036,0.64,0.02,0.62,0.64,0.020833333333333336,0.0,0.0038613488856320786,0.024778702636997347,0.14122689093205618,-0.58
small,ID507,totcst,7,Cvine,1.0,0.96,0.040000000000000036,0.48,0.42,0.06,0.48,0.4375,0.0,0.004621344035718441,0.04022313967643355,0.03893325482292968,-0.019999999999999962
small,ID507,totcst,8,Cvine,1.0,0.98,0.020000000000000018,0.12,0.02,0.09999999999999999,0.12,0.020408163265306124,0.0,0.0025660689602516823,0.12547748266882525,0.1187525261524446,-0.07999999999999997
small,ID507,totcst,9,Cvine,1.0,0.92,0.07999999999999996,0.48,0.14,0.33999999999999997,0.48,0.15217391304347827,0.0,0.006047595585444388,0.035873430848949256,0.10155705934416696,-0.26
small,ID589,totcst,0,Cvine,1.0,0.8,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.01067654862851638,0.16386133418067067,0.15521897057974005,0.19999999999999996
small,ID589,totcst,1,Cvine,1.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.019635528003500335,0.26280132029973946,0.2405695233532894,0.6
small,ID589,totcst,2,Cvine,1.0,0.8,0.19999999999999996,0.02,0.0,0.02,0.02,0.0,0.0,0.011386483798964987,0.19612557939555322,0.21319671481008512,0.17999999999999997
small,ID589,totcst,3,Cvine,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.004412670936381577,0.16885949280793328,0.19326962155989055,0.040000000000000036
small,ID589,totcst,4,Cvine,1.0,0.72,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.012658236175500484,0.14978564294680205,0.1621788377138536,0.28
small,ID589,totcst,5,Cvine,1.0,0.78,0.21999999999999997,0.02,0.02,0.0,0.02,0.02564102564102564,0.0,0.01024952119444893,0.10746847377560192,0.11591202911965391,0.21999999999999997
small,ID589,totcst,6,Cvine,1.0,0.18,0.8200000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.02683190021290037,0.2556940363555222,0.2803587821472331,0.8200000000000001
small,ID589,totcst,7,Cvine,1.0,0.52,0.48,0.02,0.0,0.02,0.02,0.0,0.0,0.016743430213134094,0.15114571711096572,0.1453236799541957,0.45999999999999996
small,ID589,totcst,8,Cvine,1.0,0.78,0.21999999999999997,0.08,0.04,0.04,0.08,0.05128205128205128,0.0,0.010451705305509018,0.07512281720546551,0.09525718296561891,0.17999999999999997
small,ID589,totcst,9,Cvine,1.0,0.46,0.54,0.06,0.04,0.019999999999999997,0.06,0.08695652173913043,0.0,0.017371055498177513,0.10804320362247179,0.10150497361644645,0.52
small,ID740,totcst,0,Cvine,1.0,0.56,0.43999999999999995,0.24,0.2,0.03999999999999998,0.24,0.35714285714285715,0.0,0.02127259675642255,0.08433164802835882,0.06694855535187223,0.39999999999999997
small,ID740,totcst,1,Cvine,1.0,0.14,0.86,0.06,0.06,0.0,0.06,0.4285714285714285,0.0,0.04768846522296614,0.15026300597208142,0.13201969430751784,0.86
small,ID740,totcst,2,Cvine,1.0,0.88,0.12,0.42,0.52,-0.10000000000000003,0.42,0.5909090909090909,0.0,0.0047646981514590896,0.03894409558900377,0.041917021099558686,0.22000000000000003
small,ID740,totcst,3,Cvine,1.0,0.3,0.7,0.14,0.04,0.1,0.14,0.13333333333333333,0.0,0.04699640267048974,0.16707908157581144,0.1760745393588358,0.6
small,ID740,totcst,4,Cvine,1.0,0.18,0.8200000000000001,0.02,0.08,-0.06,0.02,0.4444444444444445,0.0,0.040671188348222316,0.15385928856999964,0.09893848620853901,0.8800000000000001
small,ID740,totcst,5,Cvine,1.0,0.24,0.76,0.26,0.36,-0.09999999999999998,0.26,1.5,0.0,0.04040735027884621,0.06577025384861716,0.049012665161426765,0.86
small,ID740,totcst,6,Cvine,1.0,0.18,0.8200000000000001,0.24,0.22,0.01999999999999999,0.24,1.2222222222222223,0.0,0.049243861269101644,0.07434972611921728,0.05983691576002965,0.8
small,ID740,totcst,7,Cvine,1.0,0.12,0.88,0.28,0.2,0.08000000000000002,0.28,1.6666666666666667,0.0,0.05096205164078193,0.0557422291013944,0.0662337988447152,0.8
small,ID740,totcst,8,Cvine,1.0,0.88,0.12,0.26,0.2,0.06,0.26,0.2272727272727273,0.0,0.006779692858439164,0.0948164941331199,0.08987104564052524,0.06
small,ID740,totcst,9,Cvine,1.0,0.38,0.62,0.04,0.08,-0.04,0.04,0.21052631578947367,0.0,0.022436859128351673,0.16569637975929422,0.15052990016570278,0.66
small,ID806,totcst,0,Cvine,1.0,0.96,0.040000000000000036,0.74,0.84,-0.09999999999999998,0.74,0.875,0.0,0.00406848962804266,0.013273234517862968,0.009981871344035935,0.14
small,ID806,totcst,1,Cvine,1.0,0.92,0.07999999999999996,0.68,0.7,-0.019999999999999907,0.68,0.7608695652173912,0.0,0.006472011593438737,0.015189384969070234,0.014687470981648205,0.09999999999999987
small,ID806,totcst,2,Cvine,1.0,0.98,0.020000000000000018,0.8,0.84,-0.039999999999999925,0.8,0.8571428571428571,0.0,0.003938666293958352,0.014128872247890596,0.007629289562789466,0.05999999999999994
small,ID806,totcst,3,Cvine,1.0,0.74,0.26,0.28,0.28,0.0,0.28,0.3783783783783784,0.0,0.011975123259666699,0.05400572995014759,0.04140045989795332,0.26
small,ID806,totcst,4,Cvine,1.0,0.78,0.21999999999999997,0.76,0.58,0.18000000000000005,0.76,0.7435897435897435,0.0,0.009318219943782454,0.012845864361893238,0.021019446888038834,0.039999999999999925
small,ID806,totcst,5,Cvine,1.0,0.92,0.07999999999999996,0.62,0.64,-0.020000000000000018,0.62,0.6956521739130435,0.0,0.005853786501388771,0.015789240370940927,0.01911695381359109,0.09999999999999998
small,ID806,totcst,6,Cvine,1.0,0.88,0.12,0.78,0.44,0.34,0.78,0.5,0.0,0.006787068182837366,0.010329661990671493,0.03692690982100114,-0.22000000000000003
small,ID806,totcst,7,Cvine,1.0,0.96,0.040000000000000036,0.76,0.6,0.16000000000000003,0.76,0.625,0.0,0.0037848323889177415,0.009341674592381164,0.016797320576864425,-0.12
small,ID806,totcst,8,Cvine,1.0,1.0,0.0,0.6,0.64,-0.040000000000000036,0.6,0.64,0.0,0.0012338591169040727,0.015974179705724352,0.019881514898697817,0.040000000000000036
small,ID806,totcst,9,Cvine,1.0,0.98,0.020000000000000018,0.56,0.62,-0.05999999999999994,0.56,0.6326530612244898,0.0,0.004252351352482889,0.0173009848097962,0.016759986741577776,0.07999999999999996
small,ID823,totcst,0,Cvine,1.0,1.0,0.0,0.76,0.82,-0.05999999999999994,0.76,0.82,0.0,0.0012573557028810302,0.010250585381854254,0.008616520355454195,0.05999999999999994
small,ID823,totcst,1,Cvine,1.0,1.0,0.0,0.84,0.78,0.05999999999999994,0.84,0.78,0.0,0.0005550253245877472,0.007919124524428162,0.00833146921588815,-0.05999999999999994
small,ID823,totcst,2,Cvine,1.0,1.0,0.0,0.84,0.74,0.09999999999999998,0.84,0.74,0.0,0.001363222338989125,0.008033786168570627,0.012686521305967126,-0.09999999999999998
small,ID823,totcst,3,Cvine,1.0,1.0,0.0,0.54,0.46,0.08000000000000002,0.54,0.46,0.0,0.0009235843853982527,0.02097349664046317,0.03170053563032659,-0.08000000000000002
small,ID823,totcst,4,Cvine,1.0,1.0,0.0,0.78,0.72,0.06000000000000005,0.78,0.72,0.0,0.0016995622872826427,0.010727958301573496,0.012838193384117744,-0.06000000000000005
small,ID823,totcst,5,Cvine,1.0,1.0,0.0,0.76,0.88,-0.12,0.76,0.88,0.0,0.0009142268429946505,0.011500289640415834,0.007417310067215855,0.12
small,ID823,totcst,6,Cvine,1.0,1.0,0.0,0.66,0.62,0.040000000000000036,0.66,0.62,0.0,0.0022639892132481337,0.015038331279627407,0.013924047188029533,-0.040000000000000036
small,ID823,totcst,7,Cvine,1.0,1.0,0.0,0.88,0.9,-0.020000000000000018,0.88,0.9,0.0,0.0010448799464668906,0.00823673952326827,0.005532893159160311,0.020000000000000018
small,ID823,totcst,8,Cvine,1.0,1.0,0.0,0.82,0.6,0.21999999999999997,0.82,0.6,0.0,0.0012638173182584842,0.010424238393925058,0.015788487118172545,-0.21999999999999997
small,ID823,totcst,9,Cvine,1.0,1.0,0.0,0.72,0.64,0.07999999999999996,0.72,0.64,0.0,0.0006292345784286935,0.012750363953050695,0.015133096364326235,-0.07999999999999996
